# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715585.662142992019653,0.00397,0.00036,0.01004,0.00483,0.00001,0.00181,0.02102
1403715585.712142944335938,0.00404,0.00036,0.00071,0.00563,0.00010,0.00282,0.01366
1403715585.762142896652222,0.00388,0.00036,0.00029,0.00573,0.00119,0.00272,0.01417
1403715585.812143087387085,0.00375,0.00034,0.00112,0.00555,0.00018,0.00272,0.01366
1403715585.862143039703369,0.00363,0.00036,0.00651,0.00477,0.00220,0.00148,0.01895
1403715585.912142992019653,0.00382,0.00036,0.00077,0.00622,0.00010,0.00218,0.01345
1403715585.962142944335938,0.00479,0.00035,0.00024,0.00597,0.00007,0.00279,0.01421
1403715586.012142896652222,0.00407,0.00036,0.00016,0.00559,0.00006,0.00274,0.01299
1403715586.062143087387085,0.00397,0.00036,0.00118,0.00579,0.00014,0.00268,0.01412
1403715586.112143039703369,0.00462,0.00036,0.00122,0.00502,0.00019,0.00284,0.01424
1403715586.162142992019653,0.00408,0.00036,0.00067,0.00450,0.00028,0.00263,0.01252
1403715586.212142944335938,0.00499,0.00039,0.00017,0.00456,0.00011,0.00272,0.01295
1403715586.262142896652222,0.00412,0.00036,0.00395,0.00394,0.00138,0.00234,0.01608
1403715586.312143087387085,0.00425,0.00035,0.00003,0.00422,0.00013,0.00264,0.01162
1403715586.362143039703369,0.00403,0.00035,0.00035,0.00392,0.00116,0.00269,0.01251
1403715586.412142992019653,0.00455,0.00033,0.00040,0.00382,0.00068,0.00101,0.01078
1403715586.462142944335938,0.00363,0.00033,0.00089,0.00390,0.00249,0.00261,0.01385
1403715586.512142896652222,0.00365,0.00040,0.00657,0.00399,0.00032,0.00192,0.01686
1403715586.562143087387085,0.00363,0.00035,0.00003,0.00431,0.00008,0.00261,0.01100
1403715586.612143039703369,0.00504,0.00035,0.00205,0.00424,0.00006,0.00124,0.01299
1403715586.662142992019653,0.00357,0.00033,0.00416,0.00298,0.00054,0.00243,0.01401
1403715586.712142944335938,0.00370,0.00034,0.00010,0.00456,0.00031,0.00271,0.01172
1403715586.762142896652222,0.00374,0.00035,0.00079,0.00379,0.00014,0.00101,0.00981
1403715586.812143087387085,0.00412,0.00036,0.00003,0.00451,0.00016,0.00277,0.01195
1403715586.862143039703369,0.00443,0.00033,0.00019,0.00422,0.00014,0.00095,0.01026
1403715586.912142992019653,0.00411,0.00035,0.00038,0.00450,0.00012,0.00266,0.01211
1403715586.962142944335938,0.00467,0.00033,0.00019,0.00450,0.00040,0.00274,0.01282
1403715587.012142896652222,0.00390,0.00034,0.00003,0.00444,0.00017,0.00103,0.00991
1403715587.062143087387085,0.00401,0.00034,0.00011,0.00459,0.00134,0.00271,0.01310
1403715587.112143039703369,0.00362,0.00036,0.00521,0.00460,0.00034,0.00232,0.01646
1403715587.162142992019653,0.00241,0.00025,0.00069,0.00358,0.00027,0.00191,0.00910
1403715587.212142944335938,0.00394,0.00038,0.00011,0.00470,0.00007,0.00281,0.01201
1403715587.262142896652222,0.00373,0.00036,0.00422,0.00452,0.00031,0.00242,0.01557
1403715587.312143087387085,0.00151,0.00014,0.00008,0.00224,0.00095,0.00123,0.00615
1403715587.362143039703369,0.00401,0.00037,0.00093,0.00509,0.00026,0.00281,0.01348
1403715587.412142992019653,0.00405,0.00037,0.00133,0.00494,0.00015,0.00268,0.01353
1403715587.462142944335938,0.00415,0.00035,0.00111,0.00503,0.00026,0.00292,0.01383
1403715587.512142896652222,0.00376,0.00043,0.00403,0.00482,0.00406,0.00210,0.01921
1403715587.562143087387085,0.00392,0.00036,0.00036,0.00588,0.00011,0.00244,0.01307
1403715587.612143039703369,0.00419,0.00034,0.00342,0.00570,0.00118,0.00210,0.01694
1403715587.662142992019653,0.00397,0.00037,0.00144,0.00613,0.00006,0.00261,0.01459
1403715587.712142944335938,0.00433,0.00034,0.00893,0.00450,0.00004,0.00144,0.01957
1403715587.762142896652222,0.00410,0.00036,0.00231,0.00601,0.00006,0.00210,0.01494
1403715587.812143087387085,0.00421,0.00038,0.00016,0.00621,0.00007,0.00256,0.01358
1403715587.862143039703369,0.00409,0.00036,0.00161,0.00592,0.00006,0.00246,0.01449
1403715587.912142992019653,0.00385,0.00036,0.00046,0.00493,0.00002,0.00099,0.01062
1403715587.962142944335938,0.00484,0.00036,0.00339,0.00167,0.00004,0.00093,0.01122
1403715588.012142896652222,0.00451,0.00036,0.00020,0.00437,0.00002,0.00097,0.01044
1403715588.062143087387085,0.00492,0.00039,0.00326,0.00220,0.00315,0.00211,0.01603
1403715588.112143039703369,0.00510,0.00034,0.00332,0.00184,0.00597,0.00236,0.01893
1403715588.162142992019653,0.00484,0.00033,0.00178,0.00187,0.00183,0.00091,0.01155
1403715588.212142944335938,0.00454,0.00031,0.00124,0.00221,0.00094,0.00217,0.01141
1403715588.262142896652222,0.00430,0.00030,0.00229,0.00177,0.00712,0.00158,0.01736
1403715588.312143087387085,0.00463,0.00031,0.00140,0.00243,0.00950,0.00199,0.02026
1403715588.362143039703369,0.00413,0.00033,0.00064,0.00341,0.00485,0.00176,0.01512
1403715588.412142992019653,0.00375,0.00033,0.00038,0.00408,0.00001,0.00204,0.01060
